"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BA","Boeing Company (The)","178.7","$109.45B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/ba",
"BCC","Boise Cascade, L.L.C.","27.55","$1.06B","2013","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/bcc",
"BCEI","Bonanza Creek Energy, Inc.","1","$49.67M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bcei",
"BOOT","Boot Barn Holdings, Inc.","9.92","$263.32M","2014","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/boot",
"BAH","Booz Allen Hamilton Holding Corporation","36.77","$5.51B","2010","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/bah",
"BWA","BorgWarner Inc.","41.79","$8.89B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"SAM","Boston Beer Company, Inc. (The)","146.6","$1.83B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/sam",
"BXP","Boston Properties, Inc.","130.43","$20.06B","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxp",
"BXP^B","Boston Properties, Inc.","24.255","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bxp^b",
"BSX","Boston Scientific Corporation","24.64","$33.6B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bsx",
"BOX","Box, Inc.","16.6","$2.15B","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/box",
"BYD","Boyd Gaming Corporation","20.34","$2.3B","1993","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/byd",
"BP","BP p.l.c.","34.33","$108.24B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","17.2","$368.08M","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bpt",
"BERY","BPC Acquisition Corp","49.91","$6.43B","2012","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/bery",
"BRC","Brady Corporation","39.45","$2.02B","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/brc",
"BDN^E","Brandywine Realty Tr","25.33","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bdn^e",
"BDN","Brandywine Realty Trust","15.74","$2.76B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bdn",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","3.9099","$227.66M","n/a","Consumer Services","Miscellaneous","http://www.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","19.5","$7.77B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bak",
"BRFS","BRF S.A.","12.62","$10.08B","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/brfs",
"BPI","Bridgepoint Education, Inc.","9.65","$448.88M","2009","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/bpi",
"BGG","Briggs & Stratton Corporation","21.45","$918.2M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bgg",
"BFAM","Bright Horizons Family Solutions Inc.","69.41","$4.13B","2013","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/bfam",
"EAT","Brinker International, Inc.","41.4","$2.02B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/eat",
"BCO","Brink&#39;s Company (The)","52.85","$2.64B","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/bco",
"BMY","Bristol-Myers Squibb Company","58.32","$97.55B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bmy",
"BRS","Bristow Group Inc","13.99","$490.99M","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/brs",
"BRX","Brixmor Property Group Inc.","21.09","$6.42B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brx",
"BR","Broadridge Financial Solutions, Inc.","68.5","$8.1B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/br",
"BKD","Brookdale Senior Living Inc.","12.57","$2.33B","2005","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/bkd",
"BAM","Brookfield Asset Management Inc","36.17","$35.68B","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/bam",
"BBU","Brookfield Business Partners L.P.","25.12","$1.3B","2016","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/bbu",
"BOXC","Brookfield Canada Office Properties","23.21","$613.05M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/boxc",
"DTLA^","Brookfield DTLA Inc.","24.7782","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dtla^",
"INF","Brookfield Global Listed Infrastructure Income Fund","12.93","$178.42M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/inf",
"BIP","Brookfield Infrastructure Partners LP","35.89","$9.6B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/bip",
"BPY","Brookfield Property Partners L.P.","21.79","$5.67B","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/bpy",
"RA","Brookfield Real Assets Income Fund Inc.","23.1","$843.08M","2016","n/a","n/a","http://www.nasdaq.com/symbol/ra",
"BEP","Brookfield Renewable Partners L.P.","28.64","$4.78B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/bep",
"BRO","Brown & Brown, Inc.","43.21","$6.05B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/bro",
"BF.A","Brown Forman Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bf.a",
"BF.B","Brown Forman Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bf.b",
"BRT","BRT Realty Trust","8.07","$113.34M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brt",
"BC","Brunswick Corporation","60.56","$5.42B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bc",
"BT","BT Group plc","20.88","$41.59B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bt",
"BPL","Buckeye Partners L.P.","67.11","$9.43B","1986","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/bpl",
"BKE","Buckle, Inc. (The)","17.8","$865.49M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/bke",
"BVN","Buenaventura Mining Company Inc.","11.81","$3B","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/bvn",
"BBW","Build-A-Bear Workshop, Inc.","8.55","$135.52M","2004","Consumer Services","Recreational Products/Toys","http://www.nasdaq.com/symbol/bbw",
"BG","Bunge Limited","81.12","$11.32B","2001","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bg",
"BURL","Burlington Stores, Inc.","94.14","$6.65B","2013","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/burl",
"BWXT","BWX Technologies, Inc.","46.12","$4.59B","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bwxt",
"BCR","C.R. Bard, Inc.","249.77","$17.99B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bcr",
"GYB","CABCO Series 2004-101 Trust","21.945","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb",
"PFH","CABCO Series 2004-101 Trust","17.11","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pfh",
"CAB","Cabela&#39;s Inc","46.12","$3.16B","2004","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/cab",
"CABO","Cable One, Inc.","638.32","$3.65B","2015","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cabo",
"CBT","Cabot Corporation","58.62","$3.65B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cbt",
"COG","Cabot Oil & Gas Corporation","22.71","$10.79B","1990","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cog",
"CACI","CACI International, Inc.","122.3","$2.98B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CAE","CAE Inc","14.92","$4B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cae",
"CAI","CAI International, Inc.","14.25","$271.57M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CAA","CalAtlantic Group, Inc.","37.43","$4.28B","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/caa",
"CAL","Caleres, Inc.","30.9","$1.33B","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/cal",
"CCC","Calgon Carbon Corporation","13.85","$701.44M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ccc",
"CRC","California Resources Corporation","15.03","$639.42M","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/crc",
"CWT","California Water  Service Group Holding","34.45","$1.65B","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwt",
"CALX","Calix, Inc","6.95","$344.64M","2010","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/calx",
"ELY","Callaway Golf Company","10.93","$1.03B","1992","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/ely",
"CPE","Callon Petroleum Company","11.53","$2.32B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe",
"CPE^A","Callon Petroleum Company","53.5148","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cpe^a",
"CPN","Calpine Corporation","11.01","$3.95B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cpn",
"CBM","Cambrex Corporation","50.6","$1.64B","1987","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbm",
"CPT","Camden Property Trust","79.4","$6.95B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cpt",
"CCJ","Cameco Corporation","11.06","$4.38B","1996","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ccj",
"CPB","Campbell Soup Company","59.19","$18.17B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/cpb",
"CWH","Camping World Holdings, Inc.","31.75","$2.57B","2016","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cwh",
"CM","Canadian Imperial Bank of Commerce","88.62","$35.41B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/cm",
"CNI","Canadian National Railway Company","72.35","$55.15B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cni",
"CNQ","Canadian Natural Resources Limited","32.21","$35.78B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cnq",
"CP","Canadian Pacific Railway Limited","148.43","$21.72B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/cp",
"CAJ","Canon, Inc.","30.14","$32.92B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/caj",
"CMD","Cantel Medical Corp.","77.36","$3.23B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cmd",
"COF","Capital One Financial Corporation","92.19","$44.31B","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/cof",
"COF.WS","Capital One Financial Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof.ws",
"COF^C","Capital One Financial Corporation","25.39","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cof^c",
"COF^D","Capital One Financial Corporation","26.7625","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^d",
"COF^F","Capital One Financial Corporation","25.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^f",
"COF^G","Capital One Financial Corporation","22","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^g",
"COF^H","Capital One Financial Corporation","24.7541","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^h",
"COF^P","Capital One Financial Corporation","24.85","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cof^p",
"CSU","Capital Senior Living Corporation","14.34","$430.7M","1997","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/csu",
"BXMT","Capital Trust, Inc.","30.19","$2.86B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/bxmt",
"CLA","Capitala Finance Corp.","25.4886","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/cla",
"CMO","Capstead Mortgage Corporation","10.33","$992.33M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cmo",
"CMO^E","Capstead Mortgage Corporation","24.245","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmo^e",
"CRR","Carbo Ceramics, Inc.","11.04","$299.64M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/crr",
"CAH","Cardinal Health, Inc.","82.04","$25.88B","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/cah",
"CCP","Care Capital Properties, Inc.","24.22","$2.04B","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ccp",
"CRCM","Care.com, Inc.","10.69","$308.08M","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/crcm",
"CSL","Carlisle Companies Incorporated","106.63","$6.88B","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/csl",
"KMX","CarMax Inc","64.2","$12.01B","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kmx",
"CCL","Carnival Corporation","57.21","$41.47B","1987","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/ccl",
"CUK","Carnival Corporation","56.18","$40.72B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/cuk",
"CRS","Carpenter Technology Corporation","35.39","$1.65B","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/crs",
"CSV","Carriage Services, Inc.","26.49","$441.34M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/csv",
"CRI","Carter&#39;s, Inc.","88.68","$4.31B","2003","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/cri",
"CSLT","Castlight Health, inc.","3.25","$342.53M","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/cslt",
"CTLT","Catalent, Inc.","28.38","$3.54B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctlt",
"CTT           ","CatchMark Timber Trust, Inc.","10.61","$411.64M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ctt",
"CAT","Caterpillar, Inc.","92.31","$54.14B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cat",
"CATO","Cato Corporation (The)","22.96","$616.33M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cato",
"CBZ","CBIZ, Inc.","13.9","$751.21M","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cbz",
"CBL","CBL & Associates Properties, Inc.","9.28","$1.59B","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cbl",
"CBL^D","CBL & Associates Properties, Inc.","24.62","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbl^d",
"CBL^E","CBL & Associates Properties, Inc.","23.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbl^e",
"CBO","CBO (Listing Market - NYSE - Networks A/E)","19.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbo",
"IGR","CBRE Clarion Global Real Estate Income Fund","7.14","$832.46M","2004","n/a","n/a","http://www.nasdaq.com/symbol/igr",
"CBG","CBRE Group, Inc.","36.4","$12.3B","2004","Finance","Real Estate","http://www.nasdaq.com/symbol/cbg",
"CBS","CBS Corporation","67.41","$27.61B","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cbs",
"CBS.A","CBS Corporation","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbs.a",
"CBX","CBX (Listing Market NYSE Networks AE","1.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbx",
"CDI","CDI Corporation","7.3","$136.19M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/cdi",
"CEB","CEB Inc.","78.5","$2.53B","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ceb",
"FUN","Cedar Fair, L.P.","68.12","$3.83B","1987","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/fun",
"CDR","Cedar Realty Trust, Inc.","5.01","$427.95M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdr",
"CDR^B","Cedar Realty Trust, Inc.","24.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cdr^b",
"CGI","Celadon Group, Inc.","8.15","$230.64M","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cgi",
"CE","Celanese Corporation","90.64","$12.77B","2005","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ce",
"CLS","Celestica, Inc.","13.54","$1.65B","1998","Technology","Electrical Products","http://www.nasdaq.com/symbol/cls",
"CEL","Cellcom Israel, Ltd.","10.59","$1.07B","2007","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cel",
"CPAC","Cementos Pacasmayo S.A.A.","9.85","$1.93B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","8.61","$12.06B","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cx",
"CNCO","Cencosud S.A.","8.52","$8.07B","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/cnco",
"CVE","Cenovus Energy Inc","12.08","$10.06B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cve",
"CNC","Centene Corporation","68.43","$11.77B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/cnc",
"CEN","Center Coast MLP & Infrastructure Fund","12.38","$257.12M","2013","n/a","n/a","http://www.nasdaq.com/symbol/cen",
"CNP","CenterPoint Energy, Inc.","27.71","$11.93B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cnp",
"EBR","Centrais Electricas Brasileiras S.A.- Eletrobras","6.43","$8.7B","2016","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ebr",
"EBR.B","Centrais Electricas Brasileiras S.A.- Eletrobras","n/a","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/ebr.b",
"CEE","Central Europe, Russia and Turkey Fund, Inc. (The)","19.96","$154.84M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cee",
"CCS","Century Communities, Inc.","24.85","$536.98M","2014","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/ccs",
"CTL","CenturyLink, Inc.","23.14","$12.65B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctl",
"CVO","Cenveo Inc","5.35","$45.76M","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/cvo",
"CF","CF Industries Holdings, Inc.","29.42","$6.86B","2005","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/cf",
"CGG","CGG","7.29","$161.35M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"GIB","CGI Group, Inc.","47.21","$12.58B","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/gib",
"ECOM          ","ChannelAdvisor Corporation","10.45","$271.3M","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ecom",
"CRL","Charles River Laboratories International, Inc.","89.54","$4.24B","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/crl",
"CLDT","Chatham Lodging Trust (REIT)","18.92","$726.52M","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cldt",
"CMCM","Cheetah Mobile Inc.","11.54","$1.65B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmcm",
"CHGG","Chegg, Inc.","7.94","$729.14M","2013","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/chgg",
"CHE","Chemed Corp.","182.47","$2.98B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/che",
"CC","Chemours Company (The)","32.97","$6.04B","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cc",
"CHMT","Chemtura Corp.","33.25","$2.1B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/chmt",
"CHMI","Cherry Hill Mortgage Investment Corporation","18.23","$137.19M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chmi",
"CHK","Chesapeake Energy Corporation","5.15","$4.67B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chk",
"CHK^D","Chesapeake Energy Corporation","57.8453","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chk^d",
"CHKR","Chesapeake Granite Wash Trust","2.85","$133.24M","2011","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/chkr",
"CHSP","Chesapeake Lodging Trust","23.35","$1.4B","2010","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/chsp",
"CHSP^A","Chesapeake Lodging Trust","25.6407","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chsp^a",
"CPK","Chesapeake Utilities Corporation","67.3","$1.1B","n/a","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/cpk",
"CVX","Chevron Corporation","110.61","$209.4B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/cvx",
"CBI","Chicago Bridge & Iron Company N.V.","30.32","$3.04B","1997","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cbi",
"CHS","Chico&#39;s FAS, Inc.","13.88","$1.78B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/chs",
"CIM","Chimera Investment Corporation","19.21","$3.61B","2007","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cim",
"CIM^A","Chimera Investment Corporation","24.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cim^a",
"CIM^B","Chimera Investment Corporation","24.58","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cim^b",
"CO","China Cord Blood Corporation","5.74","$419.04M","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/co",
"STV","China Digital TV Holding Co., Ltd.","1.41","$90.41M","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/stv",
"DL","China Distance Education Holdings Limited","9.85","$324.69M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/dl",
"CEA","China Eastern Airlines Corporation Ltd.","26.74","$7.74B","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/cea",
"CHN","China Fund, Inc. (The)","16.02","$251.88M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/chn",
"CGA","China Green Agriculture, Inc.","1.28","$49.33M","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/cga",
"LFC","China Life Insurance Company Limited","15.06","$85.13B","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/lfc",
"CHL","China Mobile (Hong Kong) Ltd.","54.71","$224.04B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chl",
"BORN","China New Borun Corporation","1.0699","$27.52M","2010","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/born",
"COE","China Online Education Group","14.2","$284.37M","2016","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/coe",
"SNP","China Petroleum & Chemical Corporation","74.95","$90.74B","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/snp",
"ZNH","China Southern Airlines Company Limited","31.15","$6.12B","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/znh",
"CHA","China Telecom Corp Ltd","46.49","$37.63B","2002","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cha",
"CHU","China Unicom (Hong Kong) Ltd","12.36","$29.6B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/chu",
"XNY","China Xiniya Fashion Limited","1.45","$20.64M","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/xny",
"CYD","China Yuchai International Limited","17.34","$681.43M","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cyd",
"ZX","China Zenix Auto International Limited","1.55","$80.02M","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/zx",
"CMG","Chipotle Mexican Grill, Inc.","407.75","$11.73B","2006","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cmg",
"CHH","Choice Hotels International, Inc.","62.25","$3.5B","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/chh",
"CBK","Christopher & Banks Corporation","1.32","$49.37M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/cbk",
"CHT","Chunghwa Telecom Co., Ltd.","33.44","$25.94B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cht",
"CHD","Church & Dwight Company, Inc.","50.03","$12.74B","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/chd",
"CBR","Ciber, Inc.","0.2801","$22.87M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/cbr",
"CIEN","Ciena Corporation","23.66","$3.34B","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cien",
"CI","Cigna Corporation","151.92","$39.05B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ci",
"XEC","Cimarex Energy Co","119.23","$11.34B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xec",
"CBB","Cincinnati Bell Inc","18.8","$792.03M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cbb",
"CBB^B","Cincinnati Bell Inc","50.23","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cbb^b",
"CNK","Cinemark Holdings Inc","43.89","$5.3B","2007","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/cnk",
"CINR","Ciner Resources LP","27.82","$546.76M","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/cinr",
"CIR","CIRCOR International, Inc.","58.55","$958.57M","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/cir",
"CIT","CIT Group Inc (DEL)","42.08","$8.5B","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cit",
"BLW","Citigroup Inc.","15.64","$578.74M","2003","Finance","Major Banks","http://www.nasdaq.com/symbol/blw",
"C","Citigroup Inc.","61.49","$170.37B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c",
"C.WS.A","Citigroup Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c.ws.a",
"C^C","Citigroup Inc.","25.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^c",
"C^J","Citigroup Inc.","28.74","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^j",
